job id,job name,company,skill
1610,Dashboard Development,Blackcoffer,"php,html,css,javascript,python,mongodb,nodejs"
1611,Java Development and Testing,NextGen Invent Corporation,"java,sql"
1612,Virtual Reality/Augmented Reality(VR/AR) App Development,Param Labs Private Limited,"c,adobe,photoshop,unity,physics,imageprocessing,ios,android"
1613,Mobile App Development,Evineon Technologies,"java,ios,android"
1614,Backend Web Development,IIT Bombay,"java,javascript,jquery,python,bootstrap,django,angularjs,dbms"
1615,Artificial Intelligence & Machine Learning,Scuti Tech Labs,"java,python,ml,rprogramming"
1616,Data Science,Scuti Tech Labs,"ml,imageprocessing"
1617,Embedded Systems,Concinnity Agro2o Private Limited,"linux,unix,ml,embeddedsystem,c,cpp,iot"
1618,Robotics/Drones Design,11Mantras,"embeddedsystem,c,cpp"
1619,Artificial Intelligence,SME MaXX,"python,ml,rprogramming"
1620,Big Data,ALYTSEE Technologies,"java,python,hadoop"
1621,Analytics And Big Data,GraduFund,"java,python,sql,django,hadoop"
1622,Application Development for IoT And Cloud Computing,Fermedicius Labs,"java,php,css,javascript,cloudcomputing,mongodb,cpp,aws,android"
1623,Cloud Iot Integration,Untodden Labs,"cloudcomputing,c,linux,cpp"
1624,Cyber Security and Infrastructure,Zenshanti,"cloudcomputing,wordpress,linux,dbms"
1625,Web Development,Signotrix Technologies,"html,javascript"
1626,Full Stack Development,Travel dâ€™globe,"javascript,python,sql,nodejs,json"
1627,Full Stack Development,Blackcoffer,"html,css,javascript,mongodb,nodejs"
1628,Full Stack Web Development,Sense8 Technologies,"javascript,datastructures,angularjs,nodejs"
1629,MERN Stack Development,Blackcoffer,"mongodb,nodejs,reactjs"
1630,Full Stack Development,Daphnis Labs Technologies Private Limited,"php,javascript,sql,mongodb,angularjs,nodejs,sql,reactjs"
1631,Software Development (Full Stack),Emuron Technologies,"html,css,python,linux,cpp,dbms"
1632,Front End Development,IdeaVillage,"php,html,sql,css,javascript,bootstrap"
1633,Image Processing,VasundharaaGeo Technologies Private Limited,"ml,imageprocessing"
1634,iOS App Development,Kkekk Incorporation,"swift,ios"
1635,Mobile App Development,Minushia,"java,ios,android"
1636,Mobile App Development,Decision Fiction,"swift,ios"
1637,Remote Python Development,Perseus Automations,"python,cpp"
1638,Graphic Design,Internshala,"photoshop,adobe"
1639,Software Development (Full Stack),Agneyas Labs Private Limited,"python,linux,c,cpp"
1640,Software Dvelopment,Sun Bots,"html,css,javascript,python"
