job id,job name,company,skill,com_id,jobi
1610,Dashboard Development,Blackcoffer,"php,html,css,javascript,python,mongodb,nodejs",31,"0,1,2,3,4,5,6"
1611,Java Development and Testing,NextGen Invent Corporation,"java,sql",14,"7,8"
1612,Virtual Reality/Augmented Reality(VR/AR) App Development,Param Labs Private Limited,"c,adobe,photoshop,unity,physics,imageprocessing,ios,android",33,"9,10,11,12,13,14,15,16"
1613,Mobile App Development,Evineon Technologies,"java,ios,android",27,"7,15,16"
1614,Backend Web Development,IIT Bombay,"java,javascript,jquery,python,bootstrap,django,angularjs,dbms",11,"7,3,17,4,18,19,20,21"
1615,Artificial Intelligence & Machine Learning,Scuti Tech Labs,"java,python,ml,rprogramming",35,"7,4,22,23"
1616,Data Science,Scuti Tech Labs,"ml,imageprocessing",35,"22,14"
1617,Embedded Systems,Concinnity Agro2o Private Limited,"linux,unix,ml,embeddedsystem,c,cpp,iot",28,"24,25,22,26,9,27,28"
1618,Robotics/Drones Design,11Mantras,"embeddedsystem,c,cpp",37,"26,9,27"
1619,Artificial Intelligence,SME MaXX,"python,ml,rprogramming",24,"4,22,23"
1620,Big Data,ALYTSEE Technologies,"java,python,hadoop",32,"7,4,29"
1621,Analytics And Big Data,GraduFund,"java,python,sql,django,hadoop",17,"7,4,8,19,29"
1622,Application Development for IoT And Cloud Computing,Fermedicius Labs,"java,php,css,javascript,cloudcomputing,mongodb,cpp,aws,android",36,"7,0,2,3,30,5,27,31,16"
1623,Cloud Iot Integration,Untodden Labs,"cloudcomputing,c,linux,cpp",26,"30,9,24,27"
1624,Cyber Security and Infrastructure,Zenshanti,"cloudcomputing,wordpress,linux,dbms",20,"30,32,24,21"
1625,Web Development,Signotrix Technologies,"html,javascript",16,"1,3"
1626,Full Stack Development,Travel dâ€™globe,"javascript,python,sql,nodejs,json",30,"3,4,8,6,33"
1627,Full Stack Development,Blackcoffer,"html,css,javascript,mongodb,nodejs",31,"1,2,3,5,6"
1628,Full Stack Web Development,Sense8 Technologies,"javascript,datastructures,angularjs,nodejs",23,"3,34,20,6"
1629,MERN Stack Development,Blackcoffer,"mongodb,nodejs,reactjs",31,"5,6,35"
1630,Full Stack Development,Daphnis Labs Technologies Private Limited,"php,javascript,sql,mongodb,angularjs,nodejs,sql,reactjs",18,"0,3,8,5,20,6,8,35"
1631,Software Development (Full Stack),Emuron Technologies,"html,css,python,linux,cpp,dbms",25,"1,2,4,24,27,21"
1632,Front End Development,IdeaVillage,"php,html,sql,css,javascript,bootstrap",10,"0,1,8,2,3,18"
1633,Image Processing,VasundharaaGeo Technologies Private Limited,"ml,imageprocessing",29,"22,14"
1634,iOS App Development,Kkekk Incorporation,"swift,ios",15,"36,15"
1635,Mobile App Development,Minushia,"java,ios,android",34,"7,15,16"
1636,Mobile App Development,Decision Fiction,"swift,ios",12,"36,15"
1637,Remote Python Development,Perseus Automations,"python,cpp",19,"4,27"
1638,Graphic Design,Internshala,"photoshop,adobe",21,"11,10"
1639,Software Development (Full Stack),Agneyas Labs Private Limited,"python,linux,c,cpp",13,"4,24,9,27"
1640,Software Dvelopment,Sun Bots,"html,css,javascript,python",22,"1,2,3,4"
